,CONSTITUENTSYSTEMID,DAYSDIFF,r_percentile,count_gifts,f_percentile,total_giving,m_percentile,RFM,Rank_Pct
13009,E0329310-4126-4132-8E86-C38D9D4BECB2,3,0.9968525487512829,66,0.921792678754704,9565.0,0.8901128977078344,2.8087581252138216,97.14696223316913
14342,DFFB3B19-78AA-4751-AC20-58C881739190,454,0.8290797126240165,449,0.9978104686965447,87172.1,0.9813205610673965,2.8082107423879576,97.1401204159825
12969,73759487-D966-427F-84A9-85465D9DFA16,73,0.9711255559356825,90,0.949298665754362,9035.0,0.8873759835785152,2.80780020526856,97.13327859879584
13005,6DDDFF83-3C72-4FAA-8B79-F22CD2E72871,89,0.9435511460827917,132,0.9737256243585357,9521.0,0.8898392062949025,2.80711597673623,97.12643678160919
14410,34BD55A2-D358-44E3-981D-BA68CF71B026,120,0.9126924392747178,58,0.9079028395484092,114592.5,0.9859733150872392,2.806568593910366,97.11959496442255
13647,E896A09D-13E2-4DF0-AA57-47A047E47D3A,8,0.9949367088607595,47,0.877796784125898,21535.0,0.9337666780704755,2.806500171057133,97.1127531472359
14366,C0495115-D0C9-4ECB-8CC5-61DA3FD61A15,158,0.8953814574067739,70,0.9280875812521382,96532.5,0.982962709544988,2.8064317482039,97.10591133004927
13855,0186E258-AF65-4239-9F33-32DFFA2A17BC,91,0.9414300376325693,63,0.9168662333219295,30416.0,0.9479986315429353,2.8062949024974344,97.09906951286261
14058,05F3FFB0-A224-42D2-B3B2-B8A6E1F37E97,189,0.8854601436879918,102,0.9589462880602121,44620.0,0.9618884707492302,2.806294902497434,97.09222769567597
13849,C19F50AC-A113-4D66-A0A2-7C9C55C2030B,165,0.8909339719466302,117,0.9677044132740336,30190.0,0.9475880944235374,2.8062264796442014,97.08538587848933
14259,63D0C386-A29B-451B-A368-C22DC0DE98DB,119,0.9135819363667464,63,0.9168662333219295,70196.6,0.9756414642490592,2.8060896339377353,97.07854406130268
13925,B151E117-0092-4DF9-A726-D00DEB8711F3,92,0.9396510434485118,61,0.9135135135135135,33874.0,0.952788231269244,2.805952788231269,97.07170224411604
13447,BAFFE5B0-7CCB-45E7-9EEE-F6D9BF7C7268,154,0.89804994868286,204,0.9877523092712966,15732.5,0.9200821074238795,2.805884365378036,97.06486042692939
12806,5DAC302F-530C-4705-AE65-1E32E71EF8B2,28,0.9839890523434828,85,0.9453985631200821,7820.0,0.8761546356483065,2.8055422511118713,97.05801860974275
13810,30821288-675F-4FD9-99A0-0DE277CD681D,89,0.9435511460827917,63,0.9168662333219295,28615.0,0.9449196031474513,2.8053369825521726,97.0511767925561
13616,5B9C6896-7698-4B0D-8F51-C4E7A5EC2187,89,0.9435511460827917,71,0.9295244611700307,20625.6,0.9316455696202531,2.8047211768730755,97.04433497536947
13266,81DD13F3-661D-42FC-99C7-B3B1C499787D,89,0.9435511460827917,94,0.9534040369483407,12610.0,0.9076975709887102,2.804652754019843,97.03749315818281
13396,9FBA59EC-BC99-4BBA-A8BC-1DD3AA0921A4,100,0.9333561409510777,95,0.9546356483065344,14690.0,0.9165241190557646,2.804515908313377,97.03065134099617
14226,B200606E-F351-4A4E-8AC6-AE379DCB2E02,266,0.8728019158398905,100,0.9577830995552514,63455.0,0.9733835100923709,2.803968525487513,97.02380952380952
13846,7088AA45-103A-4381-A6D3-0F33E0BCF733,214,0.8812179267875471,135,0.9747519671570305,30040.44,0.9473828258638385,2.803352719808416,97.01354679802957
